WKT,Name,description,tessellate,rrcode_l,rrcode_r,crabcode,pcode_l,pcode_r,naam
"LINESTRING (3.71848063129 51.0184224595,3.71925652776 51.0182682153)",,,1,,,,9000,9000,
"LINESTRING (3.72212765929 51.0211722236,3.72202307294 51.0210570446,3.72191734931 51.0209391604,3.72178977776 51.0207787009,3.72174908049 51.0206939763,3.72177543706 51.0206043399,3.72184703907 51.0204673543,3.72182966026 51.0204452224,3.72195406795 51.020176847)",,,1,,,,9000,9000,
"LINESTRING (3.7205510477 51.0198578982,3.72059111436 51.0201564769,3.72064112177 51.0202668199,3.72065693931 51.0203090122,3.72067650821 51.0203334977,3.720713517 51.0205372127,3.72073316765 51.0205557896,3.72079547479 51.0209627884,3.72077538846 51.0209923705,3.72080207561 51.0211630163,3.72077465095 51.0212043619,3.72078622394 51.0212929399,3.72075700534 51.0213732971,3.72074874084 51.0214626354,3.7207836368 51.0215898068,3.72082142173 51.0216577208)",,,1,,,,9000,9000,
"LINESTRING (3.74523146961 51.0230423854,3.74522014006 51.0230369293)",,,1,,,,9000,9000,
"LINESTRING (3.72355916512 51.0372694132,3.72345332382 51.0373594281,3.72339095199 51.0374903982,3.72333496808 51.0376627909,3.72331825762 51.0377032344,3.7233033384 51.0377200059,3.72322312783 51.03776029)",,,1,,,,9000,9000,
"LINESTRING (3.69092287139 51.0390717914,3.69098728149 51.0390775184,3.69103102316 51.0390936105,3.69108450705 51.039107725,3.69114763885 51.0391194891,3.69120545982 51.0391232426,3.69125797263 51.0391189842,3.6913105645 51.0391090241,3.69146297087 51.0390756917,3.69146987443 51.0390985354,3.69081043375 51.0392999927,3.69076505985 51.039311136,3.69071973355 51.0393188569,3.69014183026 51.0394095541,3.69004722509 51.0394233098,3.68997564373 51.0394098026)",,,1,,,,9000,9000,
"LINESTRING (3.69593502151 51.0458069853,3.69595947006 51.045781822,3.69610661321 51.045738377,3.69613209033 51.0457590211)",,,1,,,,9000,9000,
"LINESTRING (3.70744715197 51.0464773515,3.70732111204 51.0464366423,3.70727272789 51.0464173331,3.70721940209 51.0463916494,3.70716445844 51.0463617299)",,,1,,,,9000,9000,
"LINESTRING (3.68570555952 51.0466950988,3.68427072184 51.0470032026,3.68426101465 51.0469842686,3.6841430937 51.0467588504,3.68413483998 51.0467381266,3.68413665727 51.0467111707,3.68426639915 51.0466157371,3.68492062331 51.0461502906)",,,1,,,,9000,9000,
"LINESTRING (3.6808258058 51.0479423177,3.68060253492 51.0479967477,3.68037992162 51.0481033219,3.68080733823 51.0489085639,3.68106198636 51.0488543152,3.6812836744 51.0488106585)",,,1,,,,9000,9000,
"MULTILINESTRING ((3.6844078326 51.0489420689,3.68383306803 51.0490666355),(3.68383306803 51.0490666355,3.68379340741 51.0489660508),(3.68383306803 51.0490666355,3.68381933368 51.0491128174,3.68414442231 51.0497203664),(3.68414442231 51.0497203664,3.68486743855 51.0495619486),(3.68414442231 51.0497203664,3.68423312825 51.049865524),(3.68423312825 51.049865524,3.68627611909 51.049434467,3.68642656354 51.0493902733,3.68656191809 51.0493298967,3.6866725007 51.0492510709,3.68673616251 51.0491710314,3.68679004975 51.0490940899,3.68682712412 51.0490031011,3.68683538413 51.048903361,3.68682995112 51.0488089089,3.6868013793 51.0487188926,3.68674245701 51.0486118505),(3.68423312825 51.049865524,3.68431862181 51.0500400177))",,,1,,,,9000,9000,
"LINESTRING (3.69468704689 51.0533251697,3.69461398241 51.0535458888,3.69473211896 51.0535627438,3.69472461623 51.0535887703,3.69503348307 51.0536327867)",,,1,,,,9000,9000,
"LINESTRING (3.69433770195 51.0536162253,3.69425422601 51.0538665488,3.694703999 51.0539311478)",,,1,,,,9000,9000,
"MULTILINESTRING ((3.69394156647 51.053992384,3.6938806086 51.054164066,3.69385920983 51.0542273257),(3.69385920983 51.0542273257,3.69378134476 51.0542164908,3.69369112156 51.0542026785),(3.69430326414 51.0542961523,3.69419984559 51.0542747255,3.69385920983 51.0542273257))",,,1,,,,9000,9000,
"MULTILINESTRING ((3.72356456669 51.0574635447,3.72370238532 51.0573820858,3.72378926319 51.0574149364,3.72406037564 51.0575920504,3.72414169653 51.0576546725,3.72421795542 51.0577148299,3.72426085895 51.0577598429,3.72448054196 51.0579639551,3.72468646726 51.0581679886,3.72469254616 51.0581780953,3.72483642123 51.0583403693,3.72495473744 51.0584563234,3.72499755833 51.0585074962,3.72503893204 51.0585992421,3.72508591213 51.0586705861,3.72512859469 51.0587318302,3.72527164511 51.0589223655),(3.72527164511 51.0589223655,3.72508705569 51.0589811605,3.72483346039 51.0590624783),(3.72527164511 51.0589223655,3.72537197165 51.0590547341,3.72542069268 51.0593228404,3.72542117328 51.059400923,3.7254914395 51.059604224,3.72545625519 51.0596083309))",,,1,,,,9000,9000,
"LINESTRING (3.68568188353 51.0629427678,3.68575694046 51.062902746,3.68607270547 51.0626464582,3.68598825126 51.062525119)",,,1,,,,9000,9000,
"LINESTRING (3.72437649189 51.0663583512,3.72464301575 51.0660658582,3.72458206596 51.0659333854,3.72481628909 51.0657072387,3.72493486671 51.0656952984,3.72535932248 51.065848635)",,,1,,,,9000,9000,
"LINESTRING (3.72793077693 51.066530531,3.72799927886 51.0666333796,3.72809604987 51.0666509852,3.72813800119 51.0668175159,3.72804579183 51.0669878084,3.72799007112 51.0669937996,3.72800494723 51.0670532082,3.72797209943 51.0670557276,3.72802195952 51.0672699431,3.72799154526 51.067303034,3.72805815085 51.067544309)",,,1,,,,9000,9000,
"LINESTRING (3.71325496779 51.0664629294,3.71321592252 51.0666153366,3.71321391568 51.0666563255,3.71320986607 51.0666772307,3.71311010008 51.0669333855,3.7130622576 51.0670288902,3.71302335965 51.0670572139,3.71299137154 51.0670770158,3.7129503877 51.0670924851,3.71089422307 51.0678050084)",,,1,,,,9000,9000,
"MULTILINESTRING ((3.69031452329 51.0679715163,3.69031362857 51.0679346562,3.69020354183 51.0678522216,3.68975334753 51.0675125308,3.68949231418 51.067312367,3.68920881306 51.0671857816,3.68883369367 51.066884278,3.68843454883 51.0665673521,3.6883285063 51.0665011179),(3.69031452329 51.0679715163,3.69064406217 51.0677765451),(3.69031452329 51.0679715163,3.69045426971 51.068074797,3.69060670034 51.0681889396,3.69090736646 51.0684118035,3.69115164983 51.0685875991,3.69118353374 51.0686516034,3.69124002789 51.0686914813,3.69149716345 51.0688664522,3.69160367939 51.0689003232,3.69175911129 51.0690045926,3.69183198352 51.0690958006,3.69209208083 51.0692635971,3.69219155398 51.0692911337,3.69234989372 51.0693918233,3.69265948641 51.0695904631,3.69291813384 51.0697600432),(3.68996741966 51.0681969492,3.68997604438 51.0681925033,3.69000163918 51.0681000629,3.69023027479 51.0679764247,3.6903015651 51.0679795334,3.69031452329 51.0679715163))",,,1,,,,9000,9000,
"LINESTRING (3.73602296719 51.0736262712,3.73597831194 51.0736233114,3.73558185307 51.0736077026,3.73535653493 51.0735984019,3.73511126162 51.0735871968,3.73487738254 51.0735778493,3.73463780814 51.0735675733,3.73439395238 51.0735572741,3.73388884945 51.0735352302,3.73370998859 51.0735285603,3.73363729782 51.0735438671,3.73357575783 51.0735720774,3.73353966263 51.07361771,3.73349036129 51.0737274905)",,,1,,,,9000,9000,
"LINESTRING (3.73422513019 51.0751699269,3.73434615392 51.0750842842,3.73442042932 51.0749732155,3.73449025986 51.0748747105,3.7345803519 51.0747547387,3.73465886016 51.0746472912,3.73469402561 51.0745791602,3.73472119067 51.0744696396,3.73474509304 51.0743906625,3.73475906813 51.0743071388,3.73476188076 51.0742046752,3.73475957478 51.0741642122,3.73469614564 51.0741063418)",,,1,,,,9000,9000,
"LINESTRING (3.726189629 51.0757269206,3.72575768668 51.0755924245,3.72511969418 51.0753956804,3.72393750767 51.0750314545)",,,1,,,,9000,9000,
"LINESTRING (3.7275399451 51.0759842649,3.72833131505 51.0760010383,3.72866388035 51.0760102923)",,,1,,,,9000,9000,
"LINESTRING (3.74603441166 51.0755924098,3.74602858069 51.0756013703,3.74600212172 51.075659661,3.7459682175 51.0757412831,3.74593570478 51.0758256096,3.74591199913 51.0758911063,3.74589552583 51.0759494464,3.74587761612 51.0760086826,3.74586255945 51.0760679306,3.74585035584 51.0761271938,3.74579584248 51.0763633223)",,,1,,,,9000,9000,
