observatie ID,plaats ID,crab ID,naam (NL),naam (NL) clean,naam (FR),plaatsbeschrijving,politiekwartier,kanton vredegerecht,datering,bron,Column,Column2,Column3
158,4393,71755,t Stuk,t Stuk,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
159,3602,69508,Abrahamstraat,Abrahamstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
160,3605,69511,Acaciastraat,Acaciastraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
161,4133,69514,Achilles Musschestraat,Achilles Musschestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
162,162,161629,Achterdokkaai,Achterdokkaai,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
163,163,142212,Adrien de Gerlachestraat,Adrien de Gerlachestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
164,164,69540,Afrikalaan,Afrikalaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
165,"165
 	
",69552,Akkerhage,Akkerhage,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
166,166,69555,Akselstraat,Akselstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
167,167,69556,Albaststraat,Albaststraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
168,168,69557,Albatrosstraat,Albatrosstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
169,169,69560,Albert Schweitzerstraat,Albert Schweitzerstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
170,170,69569,Alfred Vanderstegenlaan,Alfred Vanderstegenlaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
171,171,159996,Alice Béviairepad,Alice Béviairepad,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
172,12753,69573,Alpacastraat,Alpacastraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
173,173,69578,Alphonse Sifferlaan,Alphonse Sifferlaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
174,174,69584,Ambassadeursweg,Ambassadeursweg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
175,175,217517,Amethistpad,Amethistpad,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
176,176,69589,Anjelierstraat,Anjelierstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
177,177,69592,Antoine van Hoorebekehof,Antoine van Hoorebekehof,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
178,178,209585,Antoinette Vandeputtepad,Antoinette Vandeputtepad,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
179,3618,69598,Antwerpsesteenweg,Antwerpsesteenweg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
180,180,69602,Appelbrugparkje,Appelbrugparkje,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
181,3623,69603,Appelstraat,Appelstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
182,182,69622,August Kekuléstraat,August Kekuléstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
183,3628,69630,Augustijnenkaai,Augustijnenkaai,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
184,184,69631,Australiëstraat,Australiëstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
185,3629,69638,Baaisteeg,Baaisteeg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
186,186,69649,Balsamierenstraat,Balsamierenstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
187,187,69651,Banierstraat,Banierstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
188,188,69655,Basaltstraat,Basaltstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
189,189,69660,Bastionstraat,Bastionstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
190,190,198319,Bataviapad,Bataviapad,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
191,3648,69673,Begijnengracht,Begijnengracht,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
192,192,69685,Belvédèreweg,Belvédèreweg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
193,5217,69686,Benedictijnenstraat,Benedictijnenstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
194,194,69687,Beneluxplein,Beneluxplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
195,195,69694,Bernard de Wildestraat,Bernard de Wildestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
196,196,69699,Bernmaaieweg,Bernmaaieweg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
197,3658,69700,Berouw,Berouw,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
198,3716,69705,Bevrijdingslaan,Bevrijdingslaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
199,3663,69707,Biekorfstraat,Biekorfstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
200,4449,69709,Biervlietstraat,Biervlietstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
201,3727,69720,Bijlokekaai,Bijlokekaai,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
202,202,217539,Bijlokemeers,Bijlokemeers,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
203,203,69724,Bijsterveldweg,Bijsterveldweg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
204,204,69725,Binnenring-Drongen,Binnenring-Drongen,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
205,205,69727,Binnenring-Zwijnaarde,Binnenring-Zwijnaarde,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
206,3669,69735,Blandijnberg,Blandijnberg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
207,12340,69736,Blankenbergestraat,Blankenbergestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
208,3681,69760,Bonteleeuwstraat,Bonteleeuwstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
209,209,69765,Borkelaarstraat,Borkelaarstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
210,210,69795,Breendonkstraat,Breendonkstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
211,4274,69799,Brioolstraat,Brioolstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
212,212,69800,Broederlijke-Weversplein,Broederlijke-Weversplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
213,213,181657,Bronstijdhof,Bronstijdhof,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
214,214,69820,Buffelstraat,Buffelstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
215,4332,69822,Buitenhof,Buitenhof,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
216,216,69827,Buitensingel,Buitensingel,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
217,217,180757,Buitenwalledoorgang,Buitenwalledoorgang,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
218,218,181659,Buitenwalleplein,Buitenwalleplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
219,3736,69844,Cataloniëstraat,Cataloniëstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
220,220,69848,Charles Andrieslaan,Charles Andrieslaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
221,3745,69866,Conduitsteeg,Conduitsteeg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
222,222,69870,Constant Montaldplein,Constant Montaldplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
223,3682,69874,Corduwaniersstraat,Corduwaniersstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
224,224,69883,Cyriel Buyssestraat,Cyriel Buyssestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
225,225,69886,Dahliastraat,Dahliastraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
226,3752,69889,Dampoortstraat,Dampoortstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
227,227,69891,Daniël Kinetstraat,Daniel Kinetstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
228,228,69895,David 't Kindtplein,David 't Kindtplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
229,4224,69905,Denderlaan,Denderlaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
230,230,192189,Denise De Weerdtpad,Denise De Weerdtpad,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
231,231,69909,Desiderius Erasmusstraat,Desiderius Erasmusstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
232,4439,69913,Désiré Van Monckhovenstraat,Désiré Van Monckhovenstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
233,233,69928,Dok-Zuid,Dok-Zuid,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
234,3766,69932,Donkersteeg,Donkersteeg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
235,3770,69938,Doornsteeg,Doornsteeg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
236,4246,69939,Doornzelestraat,Doornzelestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
237,237,69946,Dracenastraat,Dracenastraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
238,3775,69963,Drongensesteenweg,Drongensche steenweg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
239,239,218050,Dublinstraat,Dublinstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
240,240,181962,Duiklaan,Duiklaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
241,3778,69970,Duivelsteeg,Duivelsteeg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
242,12530,69973,Dukkeldamstraat,Dukkeldamstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
243,243,69974,Durmeschipstraat,Durmeschipstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
244,244,69988,Edmond Boonenstraat,Edmond Boonenstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
245,245,69991,Edmond van Beverenplein,Edmond van Beverenplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
246,3788,69999,Eekhout,Eekhout,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
247,3785,70002,Eendrachtstraat,Eendrachtstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
248,248,70003,Egelantierstraat,Egelantierstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
249,249,70036,Emile Moysonlaan,Emile Moysonlaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
250,250,70037,Emilius Seghersplein,Emilius Seghersplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
251,251,148756,Esplanade Oscar Van de Voorde,Esplanade Oscar Van de Voorde,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
252,252,70050,Estafetteweg,Estafetteweg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
253,253,70053,Eugène Felixdreef,Eugène Felixdreef,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
254,254,70054,Europalaan,Europalaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
256,3701,70065,Ferdinand Lousbergskaai,Ferdinand Lousbergskaai,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
257,257,181661,Fibulaplein,Fibulaplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
258,258,70073,Filips van Cleeflaan,Filips van Cleeflaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
259,259,142220,Floridastraat,Floridastraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
260,3809,70089,Fortlaan,Fortlaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
261,3655,70091,François Benardstraat,François Benardstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
262,4063,70092,François Laurentplein,François Laurentplein,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
263,"263
 ",70094,Frank Baurstraat,Frank Baurstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
264,264,70098,Frans De Coenestraat,Frans De Coenestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
265,13121,70106,Frans Rensstraat,Frans Rensstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
266,266,70116,Fregatstraat,Fregatstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
267,267,70120,Fuchsiastraat,Fuchsiastraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
269,269,70128,Galvestonstraat,Galvestonstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
