"order_id","place_name_NL","place_name_FR","description","police_quarter","canton_of_small_claims_court"
0,"Abdijstraat","rue de l’abbaye","van boulevard van het slachthuis tot boulevard van ’t kasteel.",7,1
1,"Abeelstraat","rue du tremble","van brabantdam tot zakkebandstraat.",4,1
2,"Abrahamstraat","rue d’Abraham","van groot gewat tot meersteeg.",2,2
3,"Abricotstraat","rue de l’abricot","van brugschesteenweg tot groendreef.",6,2
4,"Academiestraat","rue de l'académie","van augustijnenkaai tot s. margrietestraat.",3,1
5,"Achtergaalstraat","rue du rossignol","van brugschesteenweg tot groendreef.",6,2
6,"Achterlei","quai de l’arrière-lys","van slijpstraat tot huidevetterskaai.",3,1
7,"Achtermuide","arrière muide","van n° 170 op den meulesteedschen steenweg en uitkomende op den zelfden steenweg tusschen nos 322 en 324.","S 3",2
8,"Ajuinlei",,"ziet kraanlei en ook oude ajuinlei.",,
9,"Ajuinstraat","rue aux oignons","nu gesloten, van oude ajuinlei tot onderbergen.",2,2
10,"Akkerstraat",,"ziet rasphuisstraat.",,
11,"Akkergemplaats","place d’akkergem","achter akkergemkerk, ziet boulevards der godshuizen en van akkergem.",,
12,"Akkergemstraat","rue d’akkergem","van coupure, linker oever, tot akkergemboulevard.",2,2
13,"Akkergemvest","rempart d’akkergem","ziet boulevard van akkergem.",2,2
14,"Ambeeldstraat","rue de l'enclume","van weversstraat tot vossenstraat.",6,2
15,"Ankerstraat","r. de l’ancre","v. priestersstr. tot stokersstr.",3,1
16,"Annonciadestraat","rue des annonciades","van violettenlei tot twaalfkamersstraat en papegaaistraat.",2,2
17,"Antheunisstraat","rue Antheunis","van rapenstraat tot vijfwindgatstraat.",4,1
18,"Antwerpschestraat",,"ziet dampoortstraat.",,
19,"Antwerpschesteenweg","chaussée d'Anvers","van de dampoortbrug naar s. Amandsberg.",7,1
20,"Apostelhuizen",,"ziet apostelstraat.",,
21,"Apostelstraat","rue des apôtres","van kelderstraat tot zakkebandstraat.",4,1
22,"Apotheekstraat","rue de la pharmacie","van bijlokestraat tot nieuwe hospitaalstraat.",2,2
23,"Appelbrugstraat","rue du pont aux pommes","van koornlei tot breidelsteeg.",2,2
24,"Appelstraat","rue de la pomme","van roigemstraat tot nettenstraat.",6,2
25,"Arnoldusstraat","rue d'Arnold","van blandinusstraat tot s. pietersplein.",5,2
26,"Arteveldeplaats","place d'Artevelde","van statiestraat tot koepoortkaai en nieuwenboschstraat.",4,1
27,"Augustijnenkaai","quai des augustins","van lievestraat tot molenaarstraat.",3,1
28,"Auwegem doorgang","passage d’Auwegem ou de la préfecture","van gouvernementstr. tot nederscheldestraat.",1,2
29,"Baaisteeg","rue de la frise","van zandberg tot vlasmarkt.",1,1
30,"Bagattestraat","rue des baguettes","van nederkouter tot s. pietersnieuwstraat.",5,2
31,"Baliestraat","rue de la barrière","van kortrijkschesteenweg tot meerschstraat, s. pieters-aigem.",5,2
32,"Ballestraat","rue des balles","van kraanlei tot haringsteeg.",3,1
33,"Bailliustraat","rue du bailli","van kapellaanstraat tot kazematstraat.",7,1
34,"Barrestraat","rue aux barres","van spiegelstraat tot de nederschelde.",1,1
35,"Barrierestraat, b. de kortrijkschepoort","rue de la barrière, faub. de courtrai","ziet baliestraat.",,
36,"Batterijstraat, b. de brugschepoort","rue de la batterie","van brugschesteenweg tot zuidkaai.",6,2
37,"Baudeloolei","fossé d'othon ou de baudeloo","van kleine botermarkt tot krommewal.",1,1
38,"Baudeloostraat","rue d'othon, du jardin des plantes ou baudeloo","van baudeloolei tot oudevest.",4,1
39,"Baviaanstraat","rue des babouins","van zaaimansstraat tot fabriekplaats.",3,1
40,"Beersteeg","rue aux ours","v. goudstr. tot rivier, achterlei.",1,1
41,"Beestenmarkt (nieuwe)","nouveau marché au bétail","tusschen boulevard van ’t kasteel en ’t slachthuis.",7,1
42,"Beestenmarkt (oude)","ancien marché au bétail","van de oude ossenmarkt tot zilverstraat.",1,1
43,"Begijnendreef","avenue des béguines","s. Amandsberg, van schoolstraat tot nieuw begijnhof.",0,1
44,"Begijnendries","plaine s. Elisabeth","v. burgstr. t. rabotstr.",2,2
45,"Begijnengracht","fossé s. Elisabeth","van burgstraat tot brugschepoortstraat.",2,2
46,"Begijnenplaats","place des béguines","rond s. Elisabethkerk.",2,2
47,"Begijnenstraat","rue des béguines","van begijnenplaats tot boulevard van ’t begijnhof.",2,2
48,"Begijnenvest",,"ziet boulevard van het begijnhof.",,
49,"Belgradestraat","rue de belgrade","van brabantdam tot keizerkarelstraat.",4,1
50,"Bellevuestraat","rue de bellevue","van coupure, linker oever, tot akkergemstraat.",2,2
51,"Bellevuestraat","rue de bellevue","Ledeberg, van hundelgemschesteenweg, rechts, tot de Schelde.",0,1
52,"Benardstraat","rue Benard","van muinkbrug tot dierentuindreef.",5,1
53,"Bennesteeg","r. des vanniers","v. mageleinstr. tot veldstr.",1,2
54,"Berouwstraat","rue du repentir","van chartreuzenstraat tot tusschen vogelenzangkaai en geuzenberg.",3,1
55,"Berriesteeg","rue de la civière","ziet bronsteeg.",,
56,"Bessemstraat","r. des balais","v. onderbergen t. struifsteeg.",2,2
57,"Bestormstraat","rue d'assaut","van onderbergen tot violettenlei.",2,2
58,"Beukstraat","rue du hêtre","van verbindingstraat tot populierstraat.",3,1
59,"Biezenkapelstraatje","ruelle dite biezenkapel","van regnessestraat tot nederpolder.",1,2
60,"Binnenweg","chemin de traverse","Ledeberg, van hundelgemschesteenweg tot verder op den zelfden weg.",0,1
61,"Bisschopstraat","rue de l'évêque","Ledeberg, van hundelgemschesteenweg tot scheldekant.",0,1
62,"Blandinusstraat","rue blandin","van s. pietersvrouwstraat tot s. amandstraat.",5,2
63,"Blauwmeiskensstraat",,"ziet werregarenstraat.",,
64,"Bleekersreke","digue des blanchisseurs ou avenue du bassin","van huidevetterskaai tot dok.","3 en 7",1
65,"Bleekerijstraat","rue de la blanchisserie","van kleine reke tot bleekersreeke.",3,1
66,"Blindeken","r. de l’aveugle","v. comijnstr. tot brouwersstr.",2,2
67,"Blindestraat","rue de l’aveugle","Ledeberg, van kerkstraat tot binnenweg.",0,1
68,"Bloemstraat","rue aux fleurs","van nederkouter tot paallepelstraat.",5,2
69,"Bloemstraat","rue aux fleurs","Ledeberg.",0,1
70,"Boegsteeg","r. de la proue","v. veldstr. tot preekheerenlei.",1,2
71,"Bogaardstraat","rue du verger","van hertogstraat tot roodekoningstraat.",3,1
72,"Bommelstraat","rue du bondon","van ottergemschesteenweg tot zwijnaardschesteenweg, s. pieters-aalst.",5,2
73,"Bonteleeuwstraat","r. du lion","v. korte meire tot veldstr.",1,2
74,"Boomstraat","rue de l’arbre","van peterceliestraat tot brugschesteenweg.",6,2
75,"Bronsteeg","rue de la source, rue de la civière","van kalanderberg tot gouvernementstraat.",1,2
76,"Botermarkt","marché au beurre","van hoogpoort tot mageleinstraat.",1,2
77,"Botermansstraat","rue des beurriers","van burgstraat tot meersteeg,",2,2
78,"Bouleverd van akkergem","boulev. d’akkergem","v. boulev. der godshuizen en bijlokevest tot nieuwe wandeling",2,2
79,"Boulevard van het begijnhof","boulev. du béguinage","van boulevard van plaisance tot brugschepoortstraat",2,2
80,"Boulevard van Brussel of brusselsche boulevard","boulevard de Bruxelles","van einde brusselschestraat tot einde s. lievenstraat.",4,1
81,"Boulevard der godshuizen","boulevard des hospices","ziet godshuisboulevard.",,
82,"Boulevard der citadel","boulevard de la citadelle","van aan de brug over de Lei aan godshuisboulevard tot aan de nieuwe brug over de Schelde aan terplaten.",5,2
83,"Boulevard van den dierentuin",,"ziet dierentuindreef.",,
84,"Boulevard van den kleinen dok","boulevard du petit dok","v. antwerpschesteenw. tot buitenmuide. ","S 3 en 7",1
85,"Boulevard Frère-Orban","boulevard Frère-Orban","van statieplaats tot s. lievens-boulevard.",4,1
86,"Boulevard van het godshuis",,"ziet godshuisboulevard.",,
87,"Boulevard van den gazometer","boulev. du gazomètre","van palingshuizen tot spaargeldstraat (linker oever van den verbindingsvaart.",6,1
88,"Boulevard van het kasteel","boulevard du château","van boulevard Lousbergs tot hoek der schoolkaai.",7,1
89,"Boulevard Leopold","boulev. Leopold","van den boulevard der citadel tot kortrijkschesteenweg.",5,2
90,"Boulevard Lousbergs","boulev. Lousbergs","voorheen visscherij, linker oever, van den slachthuisboulevard tot de nederschelde, bij de keizerpoort.",7,1
91,"Boulevard van plaisance","boulevard de plaisance","van boulevard van het begijnhof tot nijverheidsplaats.",3,1
92,"Boulevard van s. Lieven","boulevard s. Liévin","van brusselsche boulevard tot aan de brug over de Schelde aan terplaten.",4,1
93,"Boulevard van het slachthuis","boulevard de l’abattoir","van de Pauwbrug tot boulevard Lousbergs.",7,1
94,"Boulevard van den ijzeren weg","boulevard du chemin de fer","Ledeberg, van de bellevuestr. tot den ijzeren weg.",0,1
95,"Brabantdam","rue digue de brabant","van brabantstraat tot arteveldeplaats.",4,1
96,"Brabantstraat","rue de brabant","van vogelmarkt tot brabantdam.",4,2
97,"Braderijstraat","rue des rotisseurs","van groot gewat tot lievekaai.",2,2
98,"Braeckmanstraat","rue Braeckman","s. amandsberg, in de achterstraat.",0,1
99,"Brandstraat","rue de l'incendie","van houtlei tot holstraat.",2,2
100,"Breidelsteeg","r. des selliers","v. de appelbrug tot burgstr.",2,2
101,"Briele",,"ziet fabriekplaats.",,
102,"Brouwersstraat","rue des brasseurs","van ramstraat tot blindeken.",2,2
103,"Brugschepoortstraat","rue de la porte de Bruges","van hoogstr. en begijnengracht tot noordkaai, brugschep.",2,2
104,"Brugschesteenweg, buiten de brugschepoort","chaussée de Bruges","van phoenixstraat tot Mariakerke.",6,2
105,"Brunaustraat","rue Brunau","van de papegaaistraat tot den kouter, s. Amandsberg.",0,1
106,"Brusselsche boulevard",,"ziet boulevard van Brussel.",,
107,"Brusselschesteenweg","chaussée de Bruxelles","Ledeberg, van de keizerpoort tot Gentbrugge-Melle.",0,1
108,"Brusselschesteeg",,"ziet krevelsteeg.",,
109,"Brusselschestraat of keizerstraat","rue de Bruxelles ou de l'empereur","van vijfwindgatbrug tot keizerpoort.",4,1
110,"Brusselschepoortvest",,"ziet boulevard van Brussel.",,
111,"Buiten de heuvelpoort","faubourg de la porte de la colline","ziet s. pieters-aalst.",,
112,"Buiten de kortrijkschepoort","faubourg de la porte de Courtrai","ziet s. pieters-aigem.",,
113,"Burgstraat","rue de Bruges","van hoogezonnestraat tot begijnengracht.",2,2
114,"Bijlokekaai","quai de la byloque","van bijlokestraat tot bijlokemeerschen.",2,2
115,"Bijlokenhof","square de la byloque","van bijlokevest tot boulevard der godshuizen.",2,2
116,"Bijlokestraat","r. de la byloque","v. coupure t. bylokekaai.",2,2
117,"Bijlokevest","rempart de la byloque","van godshuisstraat tot kleine bellevuestraat en akkergemboulevard.",2,2
118,"Bij het fort",,"ziet boulevard der citadel.",,
119,"Bij s. Baafs","cloître s. Bavon","van s. janstraat tot s. baafsplein en s. baafsstraat.",1,2
120,"Bij s. Jacobs","cloître s. Jacques, place ou près s. Jacques","v. kammersstr. tot steendam, rond s. jacobskerk.",1,1
121,"Caleitjen",,"ziet kalkstraat, heuvelplein, enz.",,
122,"Cameliastraat","rue du camelia","v. dendermondscheweg tot nieuwe begijnhofstraat.",7,1
123,"Capucienenham","hameau des capucins","van lange bogaardstraat tot apostelstraat.",4,1
124,"Capucienenstraat","rue des capucins","van brabantdam tot keizerkarelstraat.",4,1
125,"Casinoplaats","place du casino","v. holstr. tot casinostr.",2,2
126,"Casinostraat","rue du casino","van theresianenstraat tot casinoplaats.",2,2
127,"Casinosteeg","ruelle du casino","ziet nieuwe casinostraat.",,
128,"Catalognestraat","rue de la catalogne","van s. janstraat tot koornmarkt.",1,2
129,"Cathelijnestraat","r. ste Catherine","ziet ste catharinastr.",,
130,"Cauderlierkaai","quai Cauderlier","ziet kuiperskaai.",,
131,"Cazematstraat","rue des casemattes","ziet kazematstraat.",,
132,"Chartreuzenstraat","rue des chartreux","van kortschipgracht tot groot meerhem.",3,1
133,"Colpaertsteeg","impasse Colpaert","op de coupure, linker oever, straat zonder eind.",2,2
134,"Comediestraat","rue du théâtre ou de la comédie","van kouter tot recollettenplein.",1,2
135,"Comijnstraat","rue du cumin","van den ram tot peperstr.",2,2
136,"Conduitsteeg","rue du conduit","v. korte meire tot veldstr.",1,2
137,"Contributiestraat","rue de la contribution","van brugschepoortstraat tot einde coupure, rechter oever.",2,2
138,"Corianderstraat","rue de la coriandre","van walpoortbrugstraat tot grooten huidevettershoek.",5,2
139,"Coupure, linker oever","coupure, rive gauche","van verlorenbroodstraat tot phoenixstraat, brugschepoort.",2,2
140,"Coupure, rechter oever","coupure, rive droite","van lindelei tot contributiestraat.",2,2
141,"Coupuregang","passage de la coupure","van rasphuisstraat tot coupure, rechter oever.",2,2
142,"Cozijntjesstraat","rue des cousins","van krommenesch tot mortierstraat.",4,1
143,"D. Dampoortstraat","rue de la porte d'Anvers","van roodetorenkaai tot antwerpschesteenweg.",7,1
144,"Dekstraat","rue des couvreurs","van s. amandstraat tot kazernstraat.",5,2
145,"Demildreef","avenue Demil","Ledeberg, van hundelgemschesteenweg tot de schelde.",0,1
146,"Dendermondscheweg","chaussée de Termonde","van antwerpschesteenweg, dampoort, tot Oostacker en verders Destelbergen.",7,1
147,"De Smetstraat","rue De Smet","in den nieuwen rabotwijk, van de brug, aan den boulevard van ’t begijnhof tot kerkstraat.",6,2
148,"De Somerstraat","rue De Somer","s. Amandsberg, van antwerpschesteenweg tot mertensstraat.",0,1
149,"De Vreese beluik","cité De Vreese","van blandinusstraat tot rogierstraat.",5,2
150,"Dierentuindreef","boulev. ou avenue du jardin zoologique","van Lieven Bauwensplaats tot s. lievensvest.",5,1
151,"Dikkeboomstraat",,"ziet kleine hospitaalstraat.",,
152,"Dobbelhuizen",,"ziet chartreuzenstraat.",,
153,"Dok","dock, bassin du commerce ou quai du grand bassin","van voormuide tot dampoortstraat. ","S 3 en 7",1
154,"Dokstraat","rue du dock","van wollestraat tot den dok.",7,1
155,"Dok, linker oever","dock, rive gauche","ziet kl. dokkaai.",,
156,"Dok, rechter oever","dock, rive droite","ziet dok.",,
157,"Donkersteeg","rue obscure","ziet hemelrijkstraat.",,
158,"Donkerstraatje","rue obscure","van vrijdagmarkt tot steurstraat.",1,1
159,"Doode lieve",,"ziet augustijnenkaai.",,
160,"Doorgangsteeg","r. traversière","v. bennesteeg t. volderstr.",1,2
161,"Doorgangstraat","rue traversière","Ledeberg, van langestraat tot kerkstraat.",0,1
162,"Doornstraat","r. de l’épine","v. krommeneesch t. mortierstr.",4,2
163,"Drapstraat","rue aux draps","van koornlei tot poel.",2,2
164,"Dries","le dries","Ledeberg, van brusselschesteenweg tot langestraat.",0,1
165,"Driesstraat","rue du dries","Ledeberg, van hundelgemschesteenweg tot den dries.",0,1
166,"Drongenhof","rue du bac","ziet veerdamstraat.",,
167,"Drongenschestraat of steenweg","rue ou chaussée de Tronchiennes","van roigemstraat tot Drongen.",6,2
168,"Druifsteeg","rue des raisins","van vrijdagmarkt tot baudeloolei.",1,1
169,"Duivenstraatje","rue des pigeons","van engelstraat tot donkerstraat.",1,1
170,"Duivelsteeg","r. du diable","v. spiegelstr. tot herpelsteeg.",1,1
171,"Dwarsstraatje",,"ziet doorgangsteeg.",,
172,"Dwarsstraat","rue traversière","van muinkkaai tot dierentuindreef.",5,1
173,"Dwarsstraat",,"Ledeberg, ziet doorgangstraat,",,
174,"Eggermontstraat","rue Eggermont","Ledeberg, van hundelgemschesteenweg tot vooruitgangplaats.",0,1
175,"Egmontstraat","rue d'Egmont","van kortrijkscheweg tot boulevard Leopold.",5,2
176,"Einde weire",,"is einde boulev. v. akkergem, linker kant.",,
177,"Eksterstraat","rue de la pie","van brugschesteenweg tot abricotstraat.",6,2
178,"Eliseesche-velden","champs-élysées","van noordkaai tot palingshuizen.",6,2
179,"Eliseescheveldenstraat","rue des champs-élysées","van noordkaai tot eliseesche velden.",6,2
180,"Elsstraat","rue de l'aulne","in den nieuwen rabotwijk, van de vlotstraat tot boulevard van den gazometer (ontworpen straat).",6,2
181,"Engelstraat","rue de l’ange","van vrijdagmarkt tot garenplaats.",1,1
182,"Engelstraat","rue de l’ange","s. Amandsberg, van schoolstraat tot dendermondscheweg.",0,1
183,"Engelandgat","rue d'Angleterre","van s. michielsplein tot struifsteeg.",2,2
184,"Engelschenonnenstraat","rue des nonnes anglaises","van s. pietersnieuwstraat tot de opperschelde, muinkkaai.",5,2
185,"Esschestraat","rue du frêne","van verbindingstraat tot popelierstraat.",3,1
186,"Fabriekplaats","place des fabriques","van s. Margrietestraat tot palingstraat.",3,1
187,"Fiennesdreef","avenue de Fiennes","van koornlei tot huurdochtersstraat.",2,2
188,"Fievéstraat","rue Fievé","van Nieuwland tot dok.",3,1
189,"Filledieuzenham",,"ziet roodelijvekensstraat.",,
190,"Florbertstraat ","rue florbert","van s. pietersplein tot s. amandstraat.",5,2
191,"Fruitmarkt",,"ziet graslei.",,
192,"Frœbelstraat","rue Frœbel","van begijnenplaats tot verspeyenstraat.",2,2
193,"Galerij Vanderdonckt",,"ziet Vanderdonckt's doorgang.",,
194,"Galgenbergstraat","rue du calvaire","van holstraat tot twaalfkamersstraat.",2,3
195,"Galgenstraat","rue de la potence","van kortrijksehesteenweg tot zwijnaardschesteenweg, s. pieters aalst.",5,2
