"order_id","place_name_NL","place_name_FR","d","police_uqarter","canton_of_small_claims_court"
0,"Abdijstraat","rue de l'abbaye","van slachthuisboulevard tot kasteelboulevard.",7,1
1,"Abeelstraat","rue du tremble","van brabantdam tot zakkebandstraat.",4,1
2,"Abrahamstraat","rue d'Abraham","van groot gewat tot meersteeg.",2,2
3,"Abrikoosstraat","rue de l'abricot","van brugschesteenweg tot groendreef.",6,2
4,"Academiestraat","rue de l'académie","van augustijnenkaai tot s. margrietestraat.",3,1
5,"Achterlei","quai de l'arrière-lys","van slijpstraat tot huidevetterskaai.",3,1
6,"Achtermuide","arrière-muide","van n° 170 op den meulesteedschen steenweg en uitkomende op den zelfden steenweg tusschen n°s 322 en 324.","H 3",2
7,"Ajuinenlei",,"ziet kraanlei en ook oude ajuinenlei.",,
8,"Akkerstraat",,"ziet rasphuisstraat.",,
9,"Akkergemboulevard","boul. d'akkergem","van godshuizenboulevard en bijlokevest tot nieuwe wandeling.",2,2
10,"Akkergemplaats","place d'akkergem","achter akkergemkerk, ziet akkergemboulevard.",,
11,"Akkergemsstraat","rue d'akkergem","van coupure, linker oever, tot akkergemboulevard.",2,2
12,"Akkergemvest","rempart d’akkergem","ziet akkergemboulevard.",,
13,"Ambeeldstraat","rue de l'enclume","van weversstraat tot vossenstraat.",6,2
14,"Ankerstraat","r. de l’ancre","v. priestersstr. tot stokersstr.",3,1
15,"Annonciadenstraat","rue des annonciades","van violettenlei tot twaalfkamersstraat en papegaaistraat.",2,2
16,"Antheunisstraat","rue Antheunis","van rapenstraat tot vijfwindgatstraat.",4,1
17,"Antwerpschestraat",,"ziet dampoortstraat.",,
18,"Antwerpschesteenweg","chaussée d'Anvers","van de dampoortbrug tot einde s. Amandsberg.",7,1
19,"Antwerpsche voetweg","chemin de terre","van antwerpsche steenweg (Potuit) tot antwerpsche steenweg.",,
20,"Apostelhuizen",,"ziet apostelsstraat.",,
21,"Apostelsstraat","rue des apôtres","van Frans Ackermansstraat tot zakkebandstraat.",4,1
22,"Apotheekstraat","rue de la pharmacie","van bijlokekaai tot nieuwe hospitaalstraat.",2,2
23,"Appelbrugstraat","rue du pont aux pommes","van koornlei tot breidelsteeg.",2,2
24,"Appelstraat","rue de la pomme","van rooigemstraat tot nettestraat.",6,2
25,"Arnoldusstraat","rue d'Arnold","van blandinusstraat tot s. Pietersplein.",5,2
26,"Arsenaalstraat","rue de l'arsenal","Ledeberg, van langestraat tot Vanden Heckestraat.",0,1
27,"Arteveldeplaats","place Van Artevelde","ziet Van Arteveldeplaats.",,
28,"Augustijnenkaai","quai des augustins","van lievestraat tot molenaarsstraat.",3,1
29,"Auwegemdoorgang","passage d'Auwegem ou de la préfecture","van gouvernementstr. tot conservatoriumstr.",1,2
30,"Baaisteeg","rue de la frise","van zandberg tot vlasmarkt",1,1
31,"Bagattenstraat","rue des baguettes","van nederkouter tot s. Pietersnieuwstraat.",5,2
32,"Baliestraat","rue de la barrière","van kortrijkschesteenweg tot meerschstraat, s. Pieters-Aigem.","H 5",2
34,"Baljuwstraat","rue du bailli","van kapellaanstraat tot kazemattenstraat.",7,1
35,"Ballenstraat","rue des balles","van kraanlei tot haringsteeg",3,1
36,"Barenstraat","rue aux barres","van spiegelstraat tot de nederschelde.",1,1
37,"Barrierestraat, b. de kortrijkschepoort","rue de la barrière, faub. de Courtrai","ziet baliestraat.",,
38,"Batterijstraat, b. de brugschepoort","rue de la batterie","van brugschesteenweg tot zuidkaai.",6,2
39,"Baudeloolei","fossé d'othon ou de baudeloo","van kleine botermarkt tot krommewal.",1,1
40,"Baudeloostraat","rue d'othon, du jardin des plantes ou baudeloo","van baudeloolei tot oudevest.",4,1
41,"Baviaanstraat","rue des babouins","van zaaimansstraat tot fabriekplaats.",3,1
42,"Beestenmarkt (nieuwe)","nouveau marché au bétail","tusschen kasteelboulevard en ’t slachthuis.",7,1
43,"Beestenmarkt (oude)","vieux marché au bétail","van de oude ossenmarkt tot zilverstraat.",1,1
44,"Begijnendreef","avenue des béguines","s. Amandsberg, van schoolstraat tot nieuw begijnhof.",,
45,"Begijnendries","plaines. Elisabeth","v. burgstr. t. rabotstr.",2,2
46,"Begijnengracht","fossé s. Elisabeth","van burgstraat tot brugschepoortstraat.",2,2
47,"Begijnhofplaats","pl. du béguinage","rond s. Elisabethkerk.",2,2
48,"Begijnenstraat","rue des béguines","van begijnhofplaats tot begijnhofboulevard.",2,2
49,"Begijnenvest",,"ziet begijnhof en begijnhofboulevard.",,
50,"Belgradestraat","rue de belgrade","van brabantdam tot keizerkarelstraat.",4,1
51,"Bellevuestraat","rue de bellevue","van coupure, linker oever, tot akkergemstraat.",2,2
52,"Bellevuestraat","rue de bellevue","Ledeberg, van hundelgemschesteenweg, rechts, tot de Schelde.",0,1
53,"Benardstraat","rue Benard","van muinkbrug tot dierentuindreef.",5,1
54,"Bennesteeg","r. des vanniers","v. mageleinstr. tot veldstr.",1,2
55,"Berensteeg","rue aux ours","van goudstraat tot rivier, achterlei.",1,1
56,"Berouwstraat","rue du repentir","van chartreuzenstraat tot tusschen vogelenzangkaai en geuzenberg.",3,1
