,0,1,2,3,4
0,"Abdijstraat","rue de l’abbaye","van slachthuisboulevard tot kasteelboulevard.",7,1
1,"Abeelbroekstraat","rue abeelbroek","s. Amandsberg, wijk oude barriere, van antwerpschen steenweg tot Destelbergen.",,
2,"Abeelstraat","rue du tremble","van brabantdam tot zakkebandstraat.",4,1
3,"Abrahamstraat","rue d'Abraham","van groot gewat tot meersteeg.",2,3
4,"Abrikoosstraat","rue de l'abricot","van brugschen steenweg tot groendreef.",6,3
5,"Academiestraat","rue de l'académie","van augustijnenkaai tot s. margrietestraat.",3,3
6,"Acaciastraat","rue de l’acacia","tusschen den Brugschensteenweg en de kastaanjestraat.",6,3
7,"Achterdries","arrière-pré","Gentbrugge, van leemstraat tot boschstraat.",,
8,"Achterlei","quai de l'arrière-lys","van slijpstraat tot huidevetterskaai.",3,1
9,"Achtermuide","arrière-muide","van n° 170 op den meulesteedschen steenweg tot haanstraat en landbouwerstraat kruisende.","HM 3",1
10,"Achterstraat","arrière rue","van antwerpschen steenweg  dubbele arend  tot antwerpschen steenweg  Potuit  s. Amandsberg.",,
11,"Ajuinenlei",,"ziet kraanlei en ook oude ajuinenlei.",,
12,"Akkergemboulevard","boul. d'akkergem",", van godshuizenboulevard en bijlokevest tot nieuwe wandeling.","H 2",2
13,"Akkergemstraat","rue d’akkergem","van coupure, linker oever, tot akkergemboulevard.","H 2",2
14,"Ambeeldstraat","rue de l'enclume","van weversstraat tot vossenstraat.",6,3
15,"Ankerstr.","r. de l’ancre","v. priestersstr. tot stokersstr.","H 3",1
16,"Annonciadenstraat","rue des annonciades","van violettenlei tot twaalfkamersstraat en papegaaistraat.",2,2
17,"Antheunisstraat","rue Antheunis","van rapenstraat tot vijfwindgatstraat.",4,1
18,"Antwerpschestraat",,"ziet dampoortstraat.",,
19,"Antwerpschensteenweg","chaussée d'Anvers","van de dampoortbrug tot einde s. Amandsberg.",7,1
20,"Antwerpsche voetweg","chemin de terre","van antwerpschen steenweg  Potuit  tot antwerpschen steenw. s. Amandsb.",,
21,"Apostelsstraat","rue des apôtres","van Frans Ackermanstraat tot zakkebandstraat.",4,1
22,"Apotheekstraat","rue de la pharmacie","van bijlokekaai tot nieuwe hospitaalstraat.","H 2",2
23,"Appelbrugstraat","rue du pont aux pommes","van koornlei tot breidelsteeg.",2,3
24,"Appelstraat","rue de la pomme","van rooigemstraat tot nettestraat.",6,3
25,"Arnoldusstraat","rue s. Arnold","van blandinusstraat tot s. Pietersplein.",5,2
