"order_id","presence_id","spacetime_volume_id","place_type","place_name_NL","place_name_NL_standardised","place_name_FR","place_name_FR_standardised","description","police_quarter","canton_of_small_claims_court","earliest_begin","latest_begin","earliest_end","latest_end","source","IIIF_manifest","IIIF_image_URI","IIIF_canvas_URI"
1,770702301,3599,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abdijstraat","Abdijstraat","rue de l’abbaye","Rue de l’abbaye","van slachthuisboulevard tot kasteelboulevard.",7,1,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
2,7496016574,3600,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abeelbroekstraat","Abeelbroekstraat","rue Abeelbroek","Rue Abeelbroek","s. Amandsberg, wijk oude barriere, van antwerpschen steenweg tot Destelbergen.",,,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
3,4109279601,3601,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abeelstraat","Abeelstraat","rue du tremble","Rue du tremble","van brabantdam tot zakke- bandstraat.",4,1,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
4,6653108190,3602,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abrahamstraat","Abrahamstraat","rue d'Abraham","Rue d'Abraham","van groot gewat tot meersteeg.",2,3,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
5,1978627431,3603,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abrikoosstraat","Abrikoosstraat","rue de l’abricot","Rue de l’abricot","van brugschen steenweg tot groendreef.",6,3,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
6,8395480561,3604,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Academiestraat","Academiestraat","rue de l’académie","Rue de l’académie","van augustijnenkaai tot s. margrietestraat.",3,3,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
7,4209398609,3605,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Acaciastraat","Acaciastraat","rue de l’acacia","Rue de l’acacia","tusschen den Brugschensteenweg en de kastanjestraat.",6,3,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
8,3367896921,3606,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Achterdries","Achterdries","arrière-pré","Arrière-pré","Gentbrugge, van voordries tot boschstraat.",,,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
9,3515914329,3607,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Achterlei","Achterlei","quai de l'arrière-lys","Quai de l'arrière-lys","van slijpstraat tot huidevetterskaai.",3,1,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
10,6137515209,3608,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Achtermuide","Achtermuide","arrière-muide","Arrière-muide","van n° 170 op den meulesteedschen steenweg tot haanstraat en landbouwersstraat kruisende.","HM 3",1,"1902-01-01T00:00:00",,,"1902-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/JMBRW2I2","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:1FD5873E-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=674&xywh=-638%2C-1%2C4524%2C2740","https://adore.ugent.be/IIIF/images/archive.ugent.be%3A1FD5873E-5142-11EC-BB1E-55C200E43F28%3ADS.1351/full/full/0/native.jpg"
