"order_id","presence_id","spacetime_volume_id","place_name_NL","place_name_NL_standardised","place_name_FR","place_name_FR_standardised","description","police_quarter","canton_of_small_claims_court","earliest_begin","latest_begin","earliest_end","latest_end","source","IIIF_manifest","IIIF_image_URI","IIIF_canvas_URI","map_number"
0,12214,4354,"slachthuislaan.","Slachthuislaan","Abattoir, boul. de l'","Boulevard de l'abattoir","q. de l'école — boul. Lousbergs. ",7,1,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=327&xywh=-610%2C-1%2C7043%2C4266","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.657/full/full/0/native.jpg"," 51-61"
1,12215,4355,"slachthuisstr.","Slachthuisstraat","Abattoir, r. de l'","Rue de l'abattoir","boul. Lousbergs — nouv. marché au bétail. ",7,1,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=327&xywh=-610%2C-1%2C7043%2C4266","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.657/full/full/0/native.jpg",62
2,12216,3599,"abdijstr.","Abdijstraat","Abbaye, r. de l'","Rue de l'abbaye","b. de l’abattoir — nouv. marché au bétail. ",7,1,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=327&xywh=-610%2C-1%2C7043%2C4266","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.657/full/full/0/native.jpg",62
3,12217,3600,"abeelbroekstr.","Abeelbroekstraat","Abeelbroek, r.","Rue abeelbroek","ch. d'Anvers — Destelbergen. Mont-St Amand.",,,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=327&xywh=-610%2C-1%2C7043%2C4266","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.657/full/full/0/native.jpg",
4,12218,3663,"biestr.","Biestraat","Abeille, r. de l'","Rue de l'abeille","r. du pays de Waes — r. d’Oostacker. ",7,1,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=327&xywh=-610%2C-1%2C7043%2C4266","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.657/full/full/0/native.jpg",53
5,12219,3602,"Abrahamstr.","Abrahamstraat","Abraham, r. d'","Rue d'abraham","avenue de la cour — r. du lac. ",2,3,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=327&xywh=-610%2C-1%2C7043%2C4266","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.657/full/full/0/native.jpg",48
6,12220,8660,"abrikoosstr.","Abrikoosstraat","Abricot, r. de l'","Rue de l'abricot","ch. de Bruges — allée verte. ",6,3,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=327&xywh=-610%2C-1%2C7043%2C4266","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.657/full/full/0/native.jpg",35
7,12221,4316,"schuddevischstraatje","Schuddevischstraatje","Abri-poisson, ruelle de l'","Ruelle de l'abri-poisson","marché aux légumes, entre les nos 14 et 15. ",1,2,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=327&xywh=-610%2C-1%2C7043%2C4266","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.657/full/full/0/native.jpg",49
8,12222,3605,"acaciastr.","Acaciastraat","Acacia, r. de l'","Rue de l'acacia","ch. de Bruges — r. du marron. ",6,3,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=327&xywh=-610%2C-1%2C7043%2C4266","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.657/full/full/0/native.jpg",35
9,12223,3604,"academiestr.","Academiestraat","Académie, r. de l'","Rue de l'académie","quai des augustins — r. Ste Marguerite. ",3,3,"1932-01-01T00:00:00",,,"1932-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/EDYDXHUU","https://adore.ugent.be/IIIF/manifests/archive.ugent.be:BCF2AE7A-5142-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=327&xywh=-610%2C-1%2C7043%2C4266","https://adore.ugent.be/IIIF/images/archive.ugent.be%3ABCF2AE7A-5142-11EC-BB1E-55C200E43F28%3ADS.657/full/full/0/native.jpg"," 38-39 "
