spacetime_volume_id,place_name,CRAB_code,CRAB,CRAB_code_comment,gent_gemapt_id,gent_gemapt_id_comment
1,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
2,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
3,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
4,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
5,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
6,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
7,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
8,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
9,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
10,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
11,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
12,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
13,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
14,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
15,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
16,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
17,,,Centraal Referentieadressenbestand (CRAB),"Place identifier from the Centraal Referentieadressenbestand (CRAB) that provides additional information about this spacetime volume, i.e. this place.",,"Place identifier from the Gent Gemapt project that provides additional information about this spacetime volume, i.e. this place."
