STR_NAAMKR,KAART,STRAATNAAM
zonder naam,zo,Kruideniersstraat
"onzeker - beluik, toegang via Rue des Bouchers 21",zo,Vlaanderenstraat
"onzeker - beluik, toegang via Rue des Bouchers 21",zo,Vlaanderenstraat
zonder naam,zo,'t Stuk
zonder naam,zo,'t Stuk
zonder naam,nw,Koolsteeg
zonder naam,zw,Overzet
Rue aux Marjolaines,zo,Mageleinstraat
Rue du St. Esprit,zo,Heilige-Geeststraat
Rue Tortue,zo,Sint-Niklaasstraat
Rue des Vanniers,zw,Bennesteeg
Rue Traverstere,zo,Sint-Niklaasstraat
Rue des Foulons,zw,Voldersstraat
Rue du Lion,zw,Bonteleeuwstraat
Rue du Saint Sacrement,zw,Heilig-Sacramentstraat
Rue du Conduit,zw,Conduitstraat
Rue du Corbeaut,zw,Veldstraat
Rue du Faucon,zw,Veldstraat
Rue du Moulinet,zw,Veldstraat
Rue aux Orgnons,zw,Onderbergen
Rue Courte de la Vallée,zw,Gebroeders Vandeveldestraat
Pont des Récollets,zw,Gebroeders Vandeveldestraat
Rue de la Poussière,zw,Stoofstraat
Rue du Mont du Chaume,zw,Jan van Stopenberghestraat
Rue des Couturieres,zw,Nodenaysteeg
Rue de la Proue,zw,Boeksteeg
Rue de l'Ocre,zw,Okkernootsteeg
Rue de la Corne,zw,Hoornstraat
Rue de la Catalogne,zw,Cataloniëstraat
Petite Turquie,zo,Klein Turkije
Rue du Paradis,zo,Donkersteeg
Rue Cte. des Chevaliers,zo,Poeljemarkt
zonder naam,nw,Schuddeveestraatje
Rue du Levrier,zw,Korenmarkt
Rue aux Tripes,nw,Gruuthuusestraat
Rue de l'Eglantine,zw,Wilderoosstraat
Rue St. Crepin,zw,Sint-Crispijnstraat
Rue des Gardes Couches,zw,Jonkvrouw Mattestraat
zonder naam,zw,Ingelandgat
Rue des Charretiers,zw,Zwartezusterstraat
Petite Rue Basse,zo,Belfortstraat
Rue de la Promenade,no,Serpentstraat
Place du Sablon,zo,Zandberg
Rue du Refuge,zo,Biezekapelstraat
Rue du Seminaire,zo,Biezekapelstraat
Ruelle Bieze Kapel,zo,Biezekapelstraat
