WKT;STR_NAAMKR;KAART;STRAATNAAM
"MULTIPOLYGON (((3.73122718286185 51.054505244437,3.73119163556472 51.0545373003692,3.7312540307723 51.054564609969,3.73126285116279 51.0545576783806,3.73128593893144 51.0545671897738,3.73127095727774 51.0545789188921,3.73124784358978 51.0545699494088,3.73124465121261 51.0545764718443,3.73126969639559 51.0545863632806,3.73128761841467 51.0545934439186,3.73134026498504 51.0545519931057,3.73122718286185 51.054505244437)))";zonder naam;zo;Kruideniersstraat
"MULTIPOLYGON (((3.72955060031023 51.0507751088265,3.72952233911291 51.0507824293213,3.72950752867327 51.0507862656665,3.72944876068706 51.0508014841514,3.72939241009684 51.0508160711825,3.72933586347373 51.0508307029691,3.72928081538744 51.050844941933,3.72928537589321 51.0508518686339,3.72930497315274 51.050881639532,3.72932239898942 51.0508769867845,3.72930399517678 51.0508491155036,3.72935163741012 51.0508365263579,3.72942714364729 51.0508165660322,3.7294403878666 51.0508130645965,3.72948108100193 51.0508023021013,3.72952368644108 51.0507910303779,3.72955490266837 51.0507827703398,3.72955060031023 51.0507751088265)))";"onzeker - beluik, toegang via Rue des Bouchers 21";zo;Vlaanderenstraat
"MULTIPOLYGON (((3.72957622352986 51.0507796713402,3.72958445786603 51.0507919324058,3.72963493016783 51.0507776217566,3.72970171690316 51.0507586801261,3.72969714816659 51.0507509938025,3.7297144922633 51.0507457400703,3.72972033302859 51.0507522853552,3.72975437617878 51.0507425393739,3.7297659441547 51.0507583099278,3.72979191112913 51.0507515765287,3.72976044019916 51.0507146272546,3.72970036842327 51.050731759809,3.72963521249988 51.0507503399191,3.72958959992952 51.0507633437987,3.72959830425475 51.0507745026282,3.72957622352986 51.0507796713402)))";"onzeker - beluik, toegang via Rue des Bouchers 21";zo;Vlaanderenstraat
"MULTIPOLYGON (((3.73423741129788 51.0504538164824,3.73424540782277 51.0504480245696,3.73427807947648 51.0504243607975,3.73429270775047 51.050432252983,3.73432833591476 51.0504066858932,3.73435808251477 51.0503857543844,3.73439696366062 51.0503583988281,3.73443259345277 51.0503333351151,3.7344647199561 51.0503107380829,3.73445672204245 51.0503054704948,3.73444321930526 51.0503151485333,3.73442551311365 51.0503051695789,3.73437160530769 51.0503433168389,3.73434927434342 51.0503591212097,3.73425923247126 51.0504234287819,3.73422515250293 51.0504477744484,3.73423741129788 51.0504538164824)))";zonder naam;zo;'t Stuk
"MULTIPOLYGON (((3.73461376719919 51.0506281734923,3.73465506824011 51.0506225516549,3.73463240516783 51.050505471208,3.73461696552152 51.0504260218546,3.73460797212577 51.0503798719834,3.73459552401764 51.0503140610619,3.73456490102491 51.0503264184389,3.73457223846006 51.0503655190068,3.73458057505922 51.0504100364919,3.73458864991753 51.0504532410326,3.73459635274923 51.0504945351479,3.73460463832357 51.0505390325783,3.73455564808028 51.0505407090022,3.73450131088367 51.0505437724582,3.73449294730108 51.050494193861,3.73448550795817 51.0504501935854,3.7344775920102 51.0504034750844,3.73447279331691 51.0503752175486,3.73445020876294 51.0503892128305,3.73441770493937 51.0504118653602,3.73445635363253 51.0504347541002,3.73440943994865 51.0504667687572,3.7343706102004 51.0504932715111,3.73435340991176 51.0505050133621,3.73437646593193 51.0505181367898,3.73433438240018 51.0505453177976,3.73435398029361 51.0505589440031,3.73437915500994 51.0505737984766,3.73444967261078 51.0505694377628,3.73450158022146 51.0505662264238,3.73454989943169 51.0505632366758,3.73460452334037 51.0505598547209,3.73460947474341 51.050596540517,3.73461376719919 51.0506281734923)))";zonder naam;zo;'t Stuk
"MULTIPOLYGON (((3.71540869472022 51.0569023598535,3.71541543723022 51.0568910032965,3.7153687484749 51.0568759348068,3.7153227440577 51.0568610957209,3.71527811108712 51.0568467190734,3.71523362266889 51.0568324115282,3.71518973737594 51.0568183266468,3.71515981168039 51.056806202367,3.71515843642654 51.0568118418099,3.71514916199723 51.0568507013996,3.71516579622907 51.056853260244,3.71518266942093 51.0568625120287,3.71521870269396 51.0568688208242,3.71524856643991 51.05687404098,3.71526487652659 51.0568769333142,3.7153125406281 51.0568853740613,3.71535802369927 51.0568934152676,3.71540869472022 51.0569023598535)))";zonder naam;nw;Koolsteeg
"MULTIPOLYGON (((3.69873332112633 51.0522115382055,3.69871706969943 51.0522210806067,3.69872166056592 51.0522242826155,3.69887298604243 51.0523298120811,3.69887796315021 51.0523289450195,3.69889188256589 51.0523233014967,3.69874250372085 51.0522179817796,3.69873332112633 51.0522115382055)))";zonder naam;zw;Overzet
"MULTIPOLYGON (((3.72484956960367 51.0523936181674,3.72484672008186 51.0523961025275,3.72483543766768 51.0523944075696,3.72476577679788 51.0524703245999,3.72469560766568 51.0525685672874,3.7246808779579 51.0526089934387,3.72467306949811 51.0526309727316,3.72466067888223 51.0526652710773,3.7246504800064 51.0526931648441,3.72462919231447 51.052748739861,3.72461577546705 51.0527830892282,3.72460298184854 51.0528185809396,3.72457813707136 51.0528832777147,3.72457362224934 51.052881673636,3.72457299735812 51.0529271173257,3.72456974332166 51.0529287293069,3.72457537796458 51.0529306289576,3.72455840494222 51.0529682264942,3.72454067845426 51.0530107262609,3.72451873240347 51.0530640620231,3.72448800259709 51.053142453255,3.72446881371105 51.0532001198221,3.72445493337867 51.0532534250245,3.72444452041157 51.0532878447151,3.72443012320205 51.0533318548717,3.72442370894866 51.0533948256813,3.72443084109203 51.0534727441633,3.72442336347599 51.0534734503169,3.72442466317592 51.0534764301725,3.7245186895169 51.0534769438681,3.72453727800996 51.053477045414,3.72453889290772 51.0534763962206,3.72453820812314 51.0534715346738,3.72453010815078 51.0534057976772,3.72452446327492 51.0533595232939,3.72454387415167 51.0533084272986,3.72456548902683 51.0532507622877,3.72458437035515 51.0531996894606,3.7246057062701 51.0531408336353,3.72460960644516 51.0531335142934,3.72461172083193 51.0531249590593,3.72462271469996 51.0530793985161,3.72463291236592 51.0530352107802,3.72463481097925 51.0530264772781,3.72465608025513 51.0529534746474,3.7246650286365 51.0529172625642,3.72466914007008 51.052902563276,3.7246808038857 51.0528700938765,3.72469536144975 51.0528299535463,3.72470303350104 51.0528088724363,3.7247151524277 51.0527753519745,3.72471848608698 51.0527660797595,3.72472832392924 51.0527318699454,3.72474607353902 51.0526822732372,3.72477627197113 51.0526245345972,3.72478163086227 51.0526141210137,3.72480147189492 51.0525798318768,3.72483541094242 51.0525375725128,3.72484561560308 51.0525236705768,3.72490097887723 51.0524473086772,3.72487085433548 51.0524158462192,3.72484956960367 51.0523936181674)))";Rue aux Marjolaines;zo;Mageleinstraat
"MULTIPOLYGON (((3.72387672593682 51.0526972269567,3.72383947422472 51.0528099322102,3.72383854254509 51.0528138940848,3.72382486733677 51.052871939494,3.72381906048471 51.0528949832211,3.72381574157209 51.0529081433559,3.72380125854459 51.0529658112878,3.72379825701116 51.0530123773243,3.72378931233161 51.0531000673774,3.72379636360717 51.053125455712,3.72379506729971 51.0531662608532,3.72379417658417 51.0531937667744,3.72379384140285 51.0532040235076,3.7237938444011 51.0532069135775,3.72379382210598 51.0532745227283,3.72379352795394 51.0533461315191,3.7237942162287 51.0533586070097,3.72380103893815 51.0535106188764,3.72379531897346 51.0535108734529,3.72378803629219 51.0535111976891,3.72379058762511 51.053517327948,3.72386813429757 51.0535088796141,3.72387168190493 51.0535073933097,3.72387120504321 51.0535072217036,3.72387191966413 51.0534661886537,3.72387283953633 51.0534384266997,3.72387487578619 51.0533715288312,3.72387710063182 51.0532801550831,3.7238826113136 51.0532106603301,3.72388278124499 51.0532017349044,3.7238836524138 51.0531537836576,3.72387338604724 51.0531536951556,3.72388125958131 51.0530562575581,3.72388602047838 51.0529731570192,3.72388624733255 51.0529695247925,3.72388976330428 51.052938628984,3.72389184697784 51.0529202950541,3.7238955719164 51.0528799166963,3.72389590907682 51.0528762491156,3.72390240633408 51.0528408650795,3.72390407213104 51.0528305077496,3.72390888847749 51.0528145565383,3.72391849632231 51.0527826971274,3.72393692668808 51.0527218379934,3.72387672593682 51.0526972269567)))";Rue du St. Esprit;zo;Heilige-Geeststraat
"MULTIPOLYGON (((3.72286560190263 51.0526360865234,3.72288540125717 51.0526898546883,3.72289192612226 51.0527075570609,3.72289563402361 51.052717614801,3.72291194086941 51.0527648448044,3.72292808667645 51.0528115507464,3.72294299209204 51.0528643311416,3.72294762670204 51.0528807269036,3.72295726112927 51.0529208583773,3.72296689740139 51.0529636506869,3.72297927805712 51.0530290822469,3.72286935152501 51.0530454196357,3.72280027168636 51.0531133400295,3.72281883238336 51.0531567187917,3.72283468044479 51.0531936796275,3.72285617102854 51.0532436572803,3.72288499193375 51.0532766152181,3.72288696035138 51.053279084567,3.72289942860918 51.0532947106004,3.72292536258572 51.0533283071363,3.72296240812374 51.0533853186652,3.72297681461191 51.0534073673571,3.72299624711379 51.0534369792823,3.72308626095096 51.0535938784262,3.72308795726381 51.0535968442876,3.72313013113916 51.0535805501916,3.7231266910716 51.0535811651024,3.72310430985699 51.0535351343184,3.72308841311951 51.0535047857727,3.72305737886572 51.0534449917586,3.72303627117948 51.0534098440618,3.72302206136271 51.0533860453424,3.72300183903178 51.053350720004,3.72299780802416 51.0533444377961,3.72298606718591 51.0533261162759,3.72294651828249 51.0532737825497,3.72293881604572 51.0532635734934,3.72287062164128 51.0531410527686,3.72286298473253 51.0531237290483,3.72286324009307 51.053113586942,3.72286664501205 51.0531065193403,3.72287171501285 51.0530974391688,3.72288162218796 51.0530884070639,3.72289093483342 51.0530846349263,3.72289628748202 51.0530824672611,3.72294011240692 51.0530707362446,3.72303242834962 51.053050209543,3.72302932673189 51.0530298947627,3.7230209955232 51.0529826446295,3.72301573423835 51.0529527318528,3.72301510634597 51.0529491353987,3.72300738924794 51.0529049314977,3.72300391236108 51.0528913557231,3.72299722815798 51.0528652385179,3.72299332222223 51.0528527831546,3.72298541481486 51.0528275608752,3.7229840379546 51.0528194261256,3.72297148760183 51.0527865869712,3.72296457176951 51.0527684806419,3.72296151878397 51.0527610918127,3.72294132949784 51.0527122188882,3.72293300025988 51.0526920453715,3.72290522871754 51.0526221004882,3.72286560190263 51.0526360865234)))";Rue Tortue;zo;Sint-Niklaasstraat
