WKT,rrcode_l,rrcode_r,crabcode,pcode_l,pcode_r,naam
"MULTILINESTRING ((105111.878649616 189995.457155776,105166.172652342 189977.830379349))",,,,"9000","9000",
"MULTILINESTRING ((105370.393573292 190299.151555321,105362.945934652 190286.401559315,105355.415890603 190273.351314195,105346.312354421 190255.578023707,105343.376229874 190246.177497856,105345.140094404 190236.190286581,105350.033418767 190220.908649951,105348.79299212 190218.457084081,105357.266240622 190188.527603757))",,,,"9000","9000",
"MULTILINESTRING ((105258.5212796 190153.890544727,105261.617438769 190187.081058598,105265.231417523 190199.325785338,105266.381485755 190204.009845263,105267.77786408 190206.721896429,105270.56888082 190229.361384891,105271.965348737 190231.416103938,105276.725259651 190276.654172823,105275.344181291 190279.957046848,105277.379399369 190298.924064907,105275.494678272 190303.539955295,105276.39116339 190313.386629974,105274.417801871 190322.343349935,105273.923185191 190332.286534443,105276.492855845 190346.412410758,105279.208678865 190353.944600304))",,,,"9000","9000",
"MULTILINESTRING ((106993.117319601 190493.573726092,106992.317441588 190492.973329093))",,,,"9000","9000",
"MULTILINESTRING ((105486.120493662 192088.990253329,105478.782538362 192099.06717656,105474.532362325 192113.674063036,105470.769600754 192132.885110893,105469.636006358 192137.394182436,105468.605552479 192139.268836406,105463.018102569 192143.798228831))",,,,"9000","9000",
"MULTILINESTRING ((103198.889069925 192309.539685988,103203.412177073 192310.1362218,103206.496057649 192311.898808245,103210.261230017 192313.435275312,103214.70070652 192314.704212522,103218.759709492 192315.085360938,103222.438428983 192314.578592503,103226.117002305 192313.437513819,103236.772716875 192309.633618249,103237.279692255 192312.170475631,103191.231235257 192334.996241268,103188.060094389 192336.264434194,103184.888875041 192337.15187927,103144.448666146 192347.605438289,103137.827358905 192349.195308694,103132.793545884 192347.737863852))",,,,"9000","9000",
"MULTILINESTRING ((103557.091329558 193055.638582259,103558.780835388 193052.824059367,103569.056160183 193047.899178201,103570.863195805 193050.1797723))",,,,"9000","9000",
"MULTILINESTRING ((104365.029760129 193123.08155189,104356.151702202 193118.630322554,104352.740005525 193116.512014624,104348.975568531 193113.687625504,104345.093548915 193110.393035627))",,,,"9000","9000",
"MULTILINESTRING ((102840.647535438 193160.876256043,102740.342772327 193196.062017142,102739.642977137 193193.961916024,102731.146598189 193168.960712665,102730.546912352 193166.660583724,102730.647150561 193163.660770023,102739.648809566 193152.961946319,102785.056193164 193100.768507192))",,,,"9000","9000",
"MULTILINESTRING ((102499.727701829 193302.728021568,102484.126840371 193308.925687532,102468.625027635 193320.923664051,102499.412407891 193410.227950144,102517.213339123 193404.030441783,102532.713879093 193399.032337924))",,,,"9000","9000",
